ID,Name,Level,Parent Name
181,Reparations sæt til sugeslanger,6,Støvsugeslange kärcher
182,Sugeslanger (clipsystem),6,Støvsugeslange kärcher
183,Sugeslanger komplette,6,Støvsugeslange kärcher
184,Sugeslanger komplette (Clipsystem),6,Støvsugeslange kärcher
185,Høj tempraturs støvsugeslange,6,Støvsugeslange kärcher
186,Forbindermuffer,6,Støvsugeslange kärcher
187,Forlængerslanger (Clipsystem),6,Støvsugeslange kärcher
188,Tilbehørsæt til støvsuger - Kärcher,5,Tilbehør til Kärcher støvsuger
221,Tilbehør til Easy Clean støvsuger,4,Støvsuger tilbehør
202,Tæpperenser tilbehør,3,Tilbehør og reservedele
203,Kemi til tæpperenser,4,Tæpperenser tilbehør
218,Tæpperens mundstykker,4,Tæpperenser tilbehør
331,Tilbehør til Willmop,3,Tilbehør og reservedele
112,Højtryksrenser tilbehør,3,Tilbehør og reservedele
113,Højtryksslanger,4,Højtryksrenser tilbehør
206,Højtryksslange 3/8'',5,Højtryksslanger
295,Quick kobling,4,Højtryksrenser tilbehør
115,Pistoler til højtryksrenser,4,Højtryksrenser tilbehør
116,Skumlanse,4,Højtryksrenser tilbehør
117,Afspændingsmiddel til hedvandsrenser,4,Højtryksrenser tilbehør
118,Lanse til højtryksrenser,4,Højtryksrenser tilbehør
170,Teleskoplanse,5,Lanse til højtryksrenser
171,Flex lanser,5,Lanse til højtryksrenser
172,Almindelige lanser,5,Lanse til højtryksrenser
173,Korte lanser,5,Lanse til højtryksrenser
278,Easy force højtrykslanser,5,Lanse til højtryksrenser
132,Vandfilter,4,Højtryksrenser tilbehør
133,Fliserenser & terrasserenser maskiner,4,Højtryksrenser tilbehør
272,Algebekæmpelse og fliserens,4,Højtryksrenser tilbehør
273,Dyser,5,Algebekæmpelse og fliserens
274,Højtryks lanser,5,Algebekæmpelse og fliserens
275,Rensekasse til fliserens,5,Algebekæmpelse og fliserens
276,Imprægnering og universalrens,5,Algebekæmpelse og fliserens
277,Maskiner til fliserens og algebekæmpelse,5,Algebekæmpelse og fliserens
144,Kemi til højtryksrenser,4,Højtryksrenser tilbehør
153,Højtryksdyser,4,Højtryksrenser tilbehør
114,Roterende turbodyse til højtryksrenser,5,Højtryksdyser
291,Standard højtryksdyser,5,Højtryksdyser
292,Variabel højtryksdyser,5,Højtryksdyser
167,Vaskebørste til højtryksrenser,4,Højtryksrenser tilbehør
201,Olie til højtryksrenser,4,Højtryksrenser tilbehør
207,Fittings til højtryk,4,Højtryksrenser tilbehør
252,Slamsuger til højtryksrenser,4,Højtryksrenser tilbehør
253,Ukrudtsbekæmpelse,4,Højtryksrenser tilbehør
296,Rørrensning,4,Højtryksrenser tilbehør
328,Tankrensning,4,Højtryksrenser tilbehør
122,Gulvvasker tilbehør,3,Tilbehør og reservedele
123,Børster til gulvvasker,4,Gulvvasker tilbehør
131,Børster til Kärcher gulvvaskemaskiner,5,Børster til gulvvasker
281,Børster til Alto clarke gulvvaskemaskiner,5,Børster til gulvvasker
282,Børster til Comac gulvvaskemaskiner,5,Børster til gulvvasker
283,Børster til Dulevo gulvvaskemaskiner,5,Børster til gulvvasker
284,Børster til Gansow gulvvaskemaskiner,5,Børster til gulvvasker
285,Børster til Hako gulvvaskemaskiner,5,Børster til gulvvasker
286,Børster til Nilfisk-Advance gulvvaskemaskiner,5,Børster til gulvvasker
290,Børster til Taski gulvvaskemaskiner,5,Børster til gulvvasker
124,Sugegummi til gulvvasker,4,Gulvvasker tilbehør
127,Valse pads til gulvvasker,4,Gulvvasker tilbehør
128,Pads,5,Valse pads til gulvvasker
129,Valseaksel til pads,5,Valse pads til gulvvasker
189,Kemi til gulvvasker,4,Gulvvasker tilbehør
426,Maskiner til leje,2,webshop
427,Gulvvasker,3,Maskiner til leje
428,Hedvandsrenser,3,Maskiner til leje
429,Fejemaskiner,3,Maskiner til leje
